Code,Title,Description
adaptation,Adaptation,"To help an enterprise adapt and restructure, e.g. so that they can start new activities."
bridging,Bridging Finance,To help provide adequate cash flow for an enterprise.
entrepreneurial,Entrepreneurial Support,To help establish a business idea.
growth,Growth and Sustainability,To support the expansion in the scale of an enterprise's activities so that it is able to achieve greater sustainability.
impact,Social Impact,To help an enterprise increase the social impact of its activities.
purchase,Capital Purchase,To help an enterprise with acquisition of large capital assets.
readiness,Investment Readiness,To provide extra support which can help an enterprise to secure further investment.
